2023-04-25 18:39:35.417 [1] INFO  EncryptionGenie.Program - Encryption Genie Application started.
2023-04-25 18:39:55.620 [1] INFO  EncryptionGenie.Controller - New instance of Controller has been created.
2023-04-25 18:39:55.620 [1] INFO  EncryptionGenie.EncryptForm - Benchmarking master key generation with Enc Algo = AES256 Hash Algo = SHA512
2023-04-25 18:40:22.265 [1] INFO  EncryptionGenie.Controller - Iteration = 226332   TotalTime (in ms) = 265   TotalTime (in Ticks) = 2652644
2023-04-25 18:40:22.653 [1] INFO  EncryptionGenie.Controller - Iteration = 346810   TotalTime (in ms) = 388   TotalTime (in Ticks) = 3880655
2023-04-25 18:40:23.602 [1] INFO  EncryptionGenie.Controller - Iteration = 867318   TotalTime (in ms) = 949   TotalTime (in Ticks) = 9491246
2023-04-25 18:40:23.978 [1] INFO  EncryptionGenie.Controller - Iteration = 338945   TotalTime (in ms) = 375   TotalTime (in Ticks) = 3755889
2023-04-25 18:40:25.067 [1] INFO  EncryptionGenie.Controller - Iteration = 974262   TotalTime (in ms) = 1088   TotalTime (in Ticks) = 10886526
2023-04-25 18:40:25.434 [1] INFO  EncryptionGenie.Controller - Iteration = 330383   TotalTime (in ms) = 367   TotalTime (in Ticks) = 3670491
2023-04-25 18:40:26.121 [1] INFO  EncryptionGenie.Controller - Iteration = 612418   TotalTime (in ms) = 686   TotalTime (in Ticks) = 6865824
2023-04-25 18:40:26.275 [1] INFO  EncryptionGenie.Controller - Iteration = 137217   TotalTime (in ms) = 154   TotalTime (in Ticks) = 1543427
2023-04-25 18:40:26.927 [1] INFO  EncryptionGenie.Controller - Iteration = 571483   TotalTime (in ms) = 651   TotalTime (in Ticks) = 6515361
2023-04-25 18:40:27.047 [1] INFO  EncryptionGenie.Controller - Iteration = 106851   TotalTime (in ms) = 119   TotalTime (in Ticks) = 1195470
2023-04-25 18:40:27.670 [1] INFO  EncryptionGenie.Controller - Iteration = 539849   TotalTime (in ms) = 623   TotalTime (in Ticks) = 6233386
2023-04-25 18:40:28.662 [1] INFO  EncryptionGenie.Controller - Iteration = 819023   TotalTime (in ms) = 991   TotalTime (in Ticks) = 9916677
2023-04-25 18:40:29.140 [1] INFO  EncryptionGenie.Controller - Iteration = 410637   TotalTime (in ms) = 477   TotalTime (in Ticks) = 4779149
2023-04-25 18:40:29.884 [1] INFO  EncryptionGenie.Controller - Iteration = 642375   TotalTime (in ms) = 743   TotalTime (in Ticks) = 7437846
2023-04-25 18:40:30.342 [1] INFO  EncryptionGenie.Controller - Iteration = 387373   TotalTime (in ms) = 458   TotalTime (in Ticks) = 4580281
2023-04-25 18:40:30.870 [1] INFO  EncryptionGenie.Controller - Iteration = 435185   TotalTime (in ms) = 528   TotalTime (in Ticks) = 5282178
2023-04-25 18:40:32.001 [1] INFO  EncryptionGenie.Controller - Iteration = 929783   TotalTime (in ms) = 1130   TotalTime (in Ticks) = 11302047
2023-04-25 18:40:32.261 [1] INFO  EncryptionGenie.Controller - Iteration = 213164   TotalTime (in ms) = 259   TotalTime (in Ticks) = 2599874
2023-04-25 18:40:32.506 [1] INFO  EncryptionGenie.Controller - Iteration = 189502   TotalTime (in ms) = 244   TotalTime (in Ticks) = 2446040
2023-04-25 18:40:32.756 [1] INFO  EncryptionGenie.Controller - Iteration = 188556   TotalTime (in ms) = 249   TotalTime (in Ticks) = 2499503
2023-04-25 18:40:33.894 [1] INFO  EncryptionGenie.Controller - Iteration = 848626   TotalTime (in ms) = 1138   TotalTime (in Ticks) = 11380211
2023-04-25 18:40:34.040 [1] INFO  EncryptionGenie.Controller - Iteration = 107875   TotalTime (in ms) = 145   TotalTime (in Ticks) = 1453987
2023-04-25 18:40:34.044 [1] INFO  EncryptionGenie.Controller - Iteration = 3242   TotalTime (in ms) = 4   TotalTime (in Ticks) = 43044
2023-04-25 18:40:34.140 [1] INFO  EncryptionGenie.Controller - Iteration = 72640   TotalTime (in ms) = 95   TotalTime (in Ticks) = 959338
2023-04-25 18:40:34.998 [1] INFO  EncryptionGenie.Controller - Iteration = 660831   TotalTime (in ms) = 857   TotalTime (in Ticks) = 8575746
2023-04-25 18:40:36.132 [1] INFO  EncryptionGenie.Controller - Iteration = 821479   TotalTime (in ms) = 1134   TotalTime (in Ticks) = 11341029
2023-04-25 18:40:37.826 [1] INFO  EncryptionGenie.Controller - Iteration = 847710   TotalTime (in ms) = 1693   TotalTime (in Ticks) = 16935593
2023-04-25 18:40:38.161 [1] INFO  EncryptionGenie.Controller - Iteration = 168675   TotalTime (in ms) = 335   TotalTime (in Ticks) = 3355517
2023-04-25 18:40:38.793 [1] INFO  EncryptionGenie.Controller - Iteration = 365912   TotalTime (in ms) = 631   TotalTime (in Ticks) = 6313196
2023-04-25 18:40:39.617 [1] INFO  EncryptionGenie.Controller - Iteration = 453604   TotalTime (in ms) = 823   TotalTime (in Ticks) = 8237299
2023-04-25 18:40:39.640 [1] INFO  EncryptionGenie.Controller - Iteration = 14261   TotalTime (in ms) = 22   TotalTime (in Ticks) = 228484
2023-04-25 18:40:40.557 [1] INFO  EncryptionGenie.Controller - Iteration = 534215   TotalTime (in ms) = 917   TotalTime (in Ticks) = 9174252
2023-04-25 18:40:41.903 [1] INFO  EncryptionGenie.Controller - Iteration = 996524   TotalTime (in ms) = 1345   TotalTime (in Ticks) = 13455501
2023-04-25 18:40:42.733 [1] INFO  EncryptionGenie.Controller - Iteration = 570249   TotalTime (in ms) = 830   TotalTime (in Ticks) = 8300844
2023-04-25 18:40:42.896 [1] INFO  EncryptionGenie.Controller - Iteration = 112313   TotalTime (in ms) = 162   TotalTime (in Ticks) = 1624784
2023-04-25 18:40:43.966 [1] INFO  EncryptionGenie.Controller - Iteration = 789497   TotalTime (in ms) = 1070   TotalTime (in Ticks) = 10703139
2023-04-25 18:40:45.180 [1] INFO  EncryptionGenie.Controller - Iteration = 845449   TotalTime (in ms) = 1213   TotalTime (in Ticks) = 12131188
2023-04-25 18:40:46.056 [1] INFO  EncryptionGenie.Controller - Iteration = 753027   TotalTime (in ms) = 876   TotalTime (in Ticks) = 8761893
2023-04-25 18:40:46.529 [1] INFO  EncryptionGenie.Controller - Iteration = 434000   TotalTime (in ms) = 472   TotalTime (in Ticks) = 4726353
2023-04-25 18:40:46.601 [1] INFO  EncryptionGenie.Controller - Iteration = 68937   TotalTime (in ms) = 71   TotalTime (in Ticks) = 717568
2023-04-25 18:40:46.867 [1] INFO  EncryptionGenie.Controller - Iteration = 243725   TotalTime (in ms) = 266   TotalTime (in Ticks) = 2661036
2023-04-25 18:40:47.081 [1] INFO  EncryptionGenie.Controller - Iteration = 195975   TotalTime (in ms) = 214   TotalTime (in Ticks) = 2144707
2023-04-25 18:40:48.065 [1] INFO  EncryptionGenie.Controller - Iteration = 908078   TotalTime (in ms) = 983   TotalTime (in Ticks) = 9831555
2023-04-25 18:40:48.401 [1] INFO  EncryptionGenie.Controller - Iteration = 302782   TotalTime (in ms) = 336   TotalTime (in Ticks) = 3360452
2023-04-25 18:40:48.907 [1] INFO  EncryptionGenie.Controller - Iteration = 459614   TotalTime (in ms) = 506   TotalTime (in Ticks) = 5064914
2023-04-25 18:40:49.815 [1] INFO  EncryptionGenie.Controller - Iteration = 819318   TotalTime (in ms) = 907   TotalTime (in Ticks) = 9074733
2023-04-25 18:40:50.444 [1] INFO  EncryptionGenie.Controller - Iteration = 573200   TotalTime (in ms) = 628   TotalTime (in Ticks) = 6288322
2023-04-25 18:40:51.344 [1] INFO  EncryptionGenie.Controller - Iteration = 856723   TotalTime (in ms) = 900   TotalTime (in Ticks) = 9003111
2023-04-25 18:40:52.219 [1] INFO  EncryptionGenie.Controller - Iteration = 840174   TotalTime (in ms) = 874   TotalTime (in Ticks) = 8746754
2023-04-25 18:40:52.840 [1] INFO  EncryptionGenie.Controller - Iteration = 612773   TotalTime (in ms) = 620   TotalTime (in Ticks) = 6206964
2023-04-25 18:40:52.975 [1] INFO  EncryptionGenie.Controller - Iteration = 133920   TotalTime (in ms) = 134   TotalTime (in Ticks) = 1344187
2023-04-25 18:40:53.159 [1] INFO  EncryptionGenie.Controller - Iteration = 185239   TotalTime (in ms) = 184   TotalTime (in Ticks) = 1846033
2023-04-25 18:40:53.376 [1] INFO  EncryptionGenie.Controller - Iteration = 214497   TotalTime (in ms) = 216   TotalTime (in Ticks) = 2161393
2023-04-25 18:40:53.844 [1] INFO  EncryptionGenie.Controller - Iteration = 466764   TotalTime (in ms) = 468   TotalTime (in Ticks) = 4686154
2023-04-25 18:40:54.007 [1] INFO  EncryptionGenie.Controller - Iteration = 161886   TotalTime (in ms) = 162   TotalTime (in Ticks) = 1626028
2023-04-25 18:40:54.982 [1] INFO  EncryptionGenie.Controller - Iteration = 937632   TotalTime (in ms) = 974   TotalTime (in Ticks) = 9747770
2023-04-25 18:40:54.995 [1] INFO  EncryptionGenie.Controller - Iteration = 12665   TotalTime (in ms) = 12   TotalTime (in Ticks) = 128984
2023-04-25 18:40:55.796 [1] INFO  EncryptionGenie.Controller - Iteration = 777638   TotalTime (in ms) = 801   TotalTime (in Ticks) = 8014729
2023-04-25 18:40:56.534 [1] INFO  EncryptionGenie.Controller - Iteration = 729468   TotalTime (in ms) = 737   TotalTime (in Ticks) = 7373455
2023-04-25 18:40:57.216 [1] INFO  EncryptionGenie.Controller - Iteration = 678061   TotalTime (in ms) = 682   TotalTime (in Ticks) = 6823967
2023-04-25 18:40:57.792 [1] INFO  EncryptionGenie.Controller - Iteration = 572986   TotalTime (in ms) = 575   TotalTime (in Ticks) = 5756399
2023-04-25 18:40:57.860 [1] INFO  EncryptionGenie.Controller - Encryption of file C:\Users\starb\Downloads\Lastly.ziphas started.
2023-04-25 18:40:57.912 [12] INFO  EncryptionGenie.Controller - Generating random salt for master key.
2023-04-25 18:40:57.968 [12] INFO  EncryptionGenie.Controller - Iteration = 28698   TotalTime (in ms) = 55   TotalTime (in Ticks) = 555767
2023-04-25 18:40:57.969 [12] INFO  EncryptionGenie.Controller - Master Key, Encryption Key and HMAC Key for encryption process has been generated.
2023-04-25 18:40:58.037 [12] INFO  EncryptionGenie.Controller - Encryption completed. Generating metadata.
2023-04-25 18:40:58.205 [1] INFO  EncryptionGenie.Controller - Generated the ecnrypted file at C:\Users\starb\Downloads\Lastly.zip.enc
